Protein	Start	Stop	Direction	BGC_Name	NCBI_Accession	ProteinSize	OrderInCluster	GroupName	RealSpecies	Domain	Domain_Accession	DupGroupName
KAE9569783.1	1	1347	0	1110_Colletotrichum_fructicola	GCA_009771025.1	1347	26.0	Group_2	Colletotrichum_fructicola	BTB	PF00651.32	nan
KAE9569790.1	1631	2980	1	1110_Colletotrichum_fructicola	GCA_009771025.1	1350	25.0	Group_3	Colletotrichum_fructicola	MFS_1	PF07690.17	nan
KAE9569781.1	3529	5546	0	1110_Colletotrichum_fructicola	GCA_009771025.1	2018	24.0	Group_0	Colletotrichum_fructicola	Amidase	PF01425.22	Group_0.8
KAE9569789.1	5920	7225	0	1110_Colletotrichum_fructicola	GCA_009771025.1	1306	23.0	Group_0	Colletotrichum_fructicola	DIT1_PvcA	PF05141.13	Group_0.10
KAE9569822.1	8337	9454	0	1110_Colletotrichum_fructicola	GCA_009771025.1	1118	22.0	Group_0	Colletotrichum_fructicola	DIT1_PvcA	PF05141.13	Group_0.12
KAE9569822.1	8337	9454	0	1110_Colletotrichum_fructicola	GCA_009771025.1	1118	22.0	Group_0	Colletotrichum_fructicola	DIT1_PvcA	PF05141.13	nan
KAE9569786.1	9522	13587	1	1110_Colletotrichum_fructicola	GCA_009771025.1	4066	21.0	Group_1	Colletotrichum_fructicola	MFS_1	PF07690.17	Group_1.8
KAE9569786.1	9522	13587	1	1110_Colletotrichum_fructicola	GCA_009771025.1	4066	21.0	Group_1	Colletotrichum_fructicola	p450	PF00067.23	nan
KAE9569786.1	9522	13587	1	1110_Colletotrichum_fructicola	GCA_009771025.1	4066	21.0	Group_1	Colletotrichum_fructicola	MFS_1	PF07690.17	nan
KAE9569786.1	9522	13587	1	1110_Colletotrichum_fructicola	GCA_009771025.1	4066	21.0	Group_1	Colletotrichum_fructicola	p450	PF00067.23	nan
KAE9569822.1	1	1118	0	1111_Colletotrichum_fructicola	GCA_009771025.1	1118	26.0	Group_0	Colletotrichum_fructicola	DIT1_PvcA	PF05141.13	nan
KAE9569822.1	1	1118	0	1111_Colletotrichum_fructicola	GCA_009771025.1	1118	26.0	Group_0	Colletotrichum_fructicola	DIT1_PvcA	PF05141.13	nan
KAE9569786.1	1186	5251	1	1111_Colletotrichum_fructicola	GCA_009771025.1	4066	25.0	Group_1	Colletotrichum_fructicola	MFS_1	PF07690.17	nan
KAE9569786.1	1186	5251	1	1111_Colletotrichum_fructicola	GCA_009771025.1	4066	25.0	Group_1	Colletotrichum_fructicola	p450	PF00067.23	nan
KAE9569786.1	1186	5251	1	1111_Colletotrichum_fructicola	GCA_009771025.1	4066	25.0	Group_1	Colletotrichum_fructicola	MFS_1	PF07690.17	nan
KAE9569786.1	1186	5251	1	1111_Colletotrichum_fructicola	GCA_009771025.1	4066	25.0	Group_1	Colletotrichum_fructicola	p450	PF00067.23	nan
KAE9569782.1	7426	9064	0	1111_Colletotrichum_fructicola	GCA_009771025.1	1639	24.0	Group_4	Colletotrichum_fructicola	p450	PF00067.23	nan
KAE9569734.1	9383	10674	1	1111_Colletotrichum_fructicola	GCA_009771025.1	1292	23.0	Group_5	Colletotrichum_fructicola	ADH_N	PF08240.13	nan
KAE9569734.1	9383	10674	1	1111_Colletotrichum_fructicola	GCA_009771025.1	1292	23.0	Group_5	Colletotrichum_fructicola	ADH_zinc_N	PF00107.27	nan
KAE9569734.1	9383	10674	1	1111_Colletotrichum_fructicola	GCA_009771025.1	1292	23.0	Group_5	Colletotrichum_fructicola	ADH_zinc_N_2	PF13602.7	nan
KAE9569734.1	9383	10674	1	1111_Colletotrichum_fructicola	GCA_009771025.1	1292	23.0	Group_5	Colletotrichum_fructicola	AlaDh_PNT_C	PF01262.22	nan
KAE9569734.1	9383	10674	1	1111_Colletotrichum_fructicola	GCA_009771025.1	1292	23.0	Group_5	Colletotrichum_fructicola	Glu_dehyd_C	PF16912.6	nan
KAE9569735.1	12600	13453	0	1111_Colletotrichum_fructicola	GCA_009771025.1	854	22.0	Group_6	Colletotrichum_fructicola	GST_C	PF00043.26	Group_6.10
KAE9569735.1	12600	13453	0	1111_Colletotrichum_fructicola	GCA_009771025.1	854	22.0	Group_6	Colletotrichum_fructicola	GST_C_3	PF14497.7	nan
KAE9569775.1	13785	14688	0	1111_Colletotrichum_fructicola	GCA_009771025.1	904	21.0	Group_6	Colletotrichum_fructicola	none	none	Group_6.12
KAE9569857.1	14792	15136	1	1111_Colletotrichum_fructicola	GCA_009771025.1	345	20.0	Group_7	Colletotrichum_fructicola	none	none	nan
KAF0317403.1	5662	6569	1	1114_Colletotrichum_asianum	GCA_009806415.1	908	5.0	Group_14	Colletotrichum_asianum	Glyco_hydro_16	PF00722.22	nan
KAF0317404.1	9349	10707	0	1114_Colletotrichum_asianum	GCA_009806415.1	1359	4.0	Group_2	Colletotrichum_asianum	BTB	PF00651.32	nan
KAF0317405.1	10961	12310	1	1114_Colletotrichum_asianum	GCA_009806415.1	1350	3.0	Group_3	Colletotrichum_asianum	MFS_1	PF07690.17	nan
KAF0317406.1	12859	18320	0	1114_Colletotrichum_asianum	GCA_009806415.1	5462	2.0	Group_0	Colletotrichum_asianum	Amidase	PF01425.22	Group_0.8
KAF0317406.1	12859	18320	0	1114_Colletotrichum_asianum	GCA_009806415.1	5462	2.0	Group_0	Colletotrichum_asianum	DIT1_PvcA	PF05141.13	nan
KAF3808653.1	3927	4830	1	1247_Colletotrichum_gloeosporioides	GCA_011800055.1	904	51.0	Group_14	Colletotrichum_gloeosporioides	Glyco_hydro_16	PF00722.22	nan
KAF3808653.1	3927	4830	1	1247_Colletotrichum_gloeosporioides	GCA_011800055.1	904	51.0	Group_14	Colletotrichum_gloeosporioides	SKN1	PF03935.16	nan
KAF3808654.1	7633	8991	0	1247_Colletotrichum_gloeosporioides	GCA_011800055.1	1359	50.0	Group_2	Colletotrichum_gloeosporioides	BTB	PF00651.32	nan
KAF3808655.1	9252	10601	1	1247_Colletotrichum_gloeosporioides	GCA_011800055.1	1350	49.0	Group_3	Colletotrichum_gloeosporioides	MFS_1	PF07690.17	nan
KAF3808656.1	11151	14849	0	1247_Colletotrichum_gloeosporioides	GCA_011800055.1	3699	48.0	Group_0	Colletotrichum_gloeosporioides	Amidase	PF01425.22	Group_0.8
KAF3808656.1	11151	14849	0	1247_Colletotrichum_gloeosporioides	GCA_011800055.1	3699	48.0	Group_0	Colletotrichum_gloeosporioides	DIT1_PvcA	PF05141.13	nan
KAF3808657.1	15634	17071	0	1247_Colletotrichum_gloeosporioides	GCA_011800055.1	1438	47.0	Group_0	Colletotrichum_gloeosporioides	DIT1_PvcA	PF05141.13	Group_0.10
KAF3808657.1	15634	17071	0	1247_Colletotrichum_gloeosporioides	GCA_011800055.1	1438	47.0	Group_0	Colletotrichum_gloeosporioides	DIT1_PvcA	PF05141.13	nan
KAF3808658.1	17136	18948	1	1247_Colletotrichum_gloeosporioides	GCA_011800055.1	1813	46.0	Group_1	Colletotrichum_gloeosporioides	p450	PF00067.23	nan
KAF3808658.1	17136	18948	1	1247_Colletotrichum_gloeosporioides	GCA_011800055.1	1813	46.0	Group_1	Colletotrichum_gloeosporioides	p450	PF00067.23	nan
KAF3808659.1	19444	21109	1	1247_Colletotrichum_gloeosporioides	GCA_011800055.1	1666	45.0	Group_1	Colletotrichum_gloeosporioides	MFS_1	PF07690.17	Group_1.8
KAF3808659.1	19444	21109	1	1247_Colletotrichum_gloeosporioides	GCA_011800055.1	1666	45.0	Group_1	Colletotrichum_gloeosporioides	MFS_1	PF07690.17	nan
KAF3808660.1	23279	24906	0	1247_Colletotrichum_gloeosporioides	GCA_011800055.1	1628	44.0	Group_4	Colletotrichum_gloeosporioides	p450	PF00067.23	nan
KAF3808660.1	23279	24906	0	1247_Colletotrichum_gloeosporioides	GCA_011800055.1	1628	44.0	Group_4	Colletotrichum_gloeosporioides	p450	PF00067.23	nan
