Protein	Start	Stop	Direction	BGC_Name	NCBI_Accession	ProteinSize	OrderInCluster	GroupName	RealSpecies	Domain	Domain_Accession	DupGroupName
QHS65718.1	1	1497	1	1197_Candida_glabrata	GCA_010111755.1	1497	5.0	Group_0	Candida_glabrata	p450	PF00067.23	Group_0.1
QHS65719.1	2862	4427	0	1197_Candida_glabrata	GCA_010111755.1	1566	4.0	Group_1	Candida_glabrata	DIT1_PvcA	PF05141.13	Group_1.1
QHS65720.1	5091	5606	1	1197_Candida_glabrata	GCA_010111755.1	516	3.0	Group_2	Candida_glabrata	S1	PF00575.24	Group_2.2
QHS65720.1	5091	5606	1	1197_Candida_glabrata	GCA_010111755.1	516	3.0	Group_2	Candida_glabrata	SHS2_Rpb7-N	PF03876.18	nan
QHS65721.1	6252	6866	0	1197_Candida_glabrata	GCA_010111755.1	615	2.0	Group_3	Candida_glabrata	Ribosomal_L23	PF00276.21	Group_3.1
KAF1910467.1	1	1470	1	1198_Saccharomyces_cerevisiae	GCA_010356925.1	1470	5.0	Group_0	Saccharomyces_cerevisiae	p450	PF00067.23	Group_0.1
KAF1910468.1	2369	3979	0	1198_Saccharomyces_cerevisiae	GCA_010356925.1	1611	4.0	Group_1	Saccharomyces_cerevisiae	DIT1_PvcA	PF05141.13	Group_1.1
KAF1910469.1	4279	5132	1	1198_Saccharomyces_cerevisiae	GCA_010356925.1	854	3.0	Group_2	Saccharomyces_cerevisiae	S1	PF00575.24	Group_2.2
KAF1910469.1	4279	5132	1	1198_Saccharomyces_cerevisiae	GCA_010356925.1	854	3.0	Group_2	Saccharomyces_cerevisiae	SHS2_Rpb7-N	PF03876.18	nan
KAF1910470.1	5329	6312	0	1198_Saccharomyces_cerevisiae	GCA_010356925.1	984	2.0	Group_3	Saccharomyces_cerevisiae	Ribosomal_L23	PF00276.21	Group_3.1
KAF1906690.1	1223	2692	1	1199_Saccharomyces_cerevisiae	GCA_010356935.1	1470	5.0	Group_0	Saccharomyces_cerevisiae	p450	PF00067.23	Group_0.1
KAF1906691.1	3591	5406	0	1199_Saccharomyces_cerevisiae	GCA_010356935.1	1816	4.0	Group_1	Saccharomyces_cerevisiae	DIT1_PvcA	PF05141.13	Group_1.1
KAF1906692.1	5643	6158	1	1199_Saccharomyces_cerevisiae	GCA_010356935.1	516	3.0	Group_2	Saccharomyces_cerevisiae	S1	PF00575.24	Group_2.2
KAF1906692.1	5643	6158	1	1199_Saccharomyces_cerevisiae	GCA_010356935.1	516	3.0	Group_2	Saccharomyces_cerevisiae	SHS2_Rpb7-N	PF03876.18	nan
KAF1906693.1	6242	7535	0	1199_Saccharomyces_cerevisiae	GCA_010356935.1	1294	2.0	Group_3	Saccharomyces_cerevisiae	Ribosomal_L23	PF00276.21	Group_3.1
QID83720.1	4706	5728	0	1209_Saccharomyces_pastorianus	GCA_011022315.1	1023	9.0	Group_8	Saccharomyces_pastorianus	IU_nuc_hydro	PF01156.20	Group_8.1
QID83721.1	5884	7353	1	1209_Saccharomyces_pastorianus	GCA_011022315.1	1470	8.0	Group_0	Saccharomyces_pastorianus	p450	PF00067.23	Group_0.1
QID83722.1	8346	9956	0	1209_Saccharomyces_pastorianus	GCA_011022315.1	1611	7.0	Group_1	Saccharomyces_pastorianus	DIT1_PvcA	PF05141.13	Group_1.1
QID78901.1	1	1023	0	1210_Saccharomyces_pastorianus	GCA_011022315.1	1023	9.0	Group_8	Saccharomyces_pastorianus	IU_nuc_hydro	PF01156.20	Group_8.2
QID78902.1	1172	2641	1	1210_Saccharomyces_pastorianus	GCA_011022315.1	1470	8.0	Group_0	Saccharomyces_pastorianus	p450	PF00067.23	Group_0.2
QID78903.1	3541	5151	0	1210_Saccharomyces_pastorianus	GCA_011022315.1	1611	7.0	Group_1	Saccharomyces_pastorianus	DIT1_PvcA	PF05141.13	Group_1.2
