Protein	Start	Stop	Direction	BGC_Name	NCBI_Accession	ProteinSize	OrderInCluster	GroupName	RealSpecies	Domain	Domain_Accession	DupGroupName
KAE8833338.1	27074	28804	1	1093_Pyrenophora_teres	GCA_009728635.1	1731	2.0	Group_8	Pyrenophora_teres	MFS_1	PF07690.17	nan
KAE8833338.1	27074	28804	1	1093_Pyrenophora_teres	GCA_009728635.1	1731	2.0	Group_8	Pyrenophora_teres	TRI12	PF06609.14	nan
KAE8848969.1	33637	35367	1	1094_Pyrenophora_teres	GCA_009728645.1	1731	2.0	Group_8	Pyrenophora_teres	MFS_1	PF07690.17	nan
KAE8848969.1	33637	35367	1	1094_Pyrenophora_teres	GCA_009728645.1	1731	2.0	Group_8	Pyrenophora_teres	TRI12	PF06609.14	nan
KAE8867181.1	15913	17643	1	1095_Pyrenophora_teres	GCA_009728655.1	1731	1.0	Group_8	Pyrenophora_teres	MFS_1	PF07690.17	nan
KAE8867181.1	15913	17643	1	1095_Pyrenophora_teres	GCA_009728655.1	1731	1.0	Group_8	Pyrenophora_teres	TRI12	PF06609.14	nan
KAE8864390.1	15913	17643	1	1096_Pyrenophora_teres	GCA_009728665.1	1731	1.0	Group_8	Pyrenophora_teres	MFS_1	PF07690.17	nan
KAE8864390.1	15913	17643	1	1096_Pyrenophora_teres	GCA_009728665.1	1731	1.0	Group_8	Pyrenophora_teres	TRI12	PF06609.14	nan
KAE8840894.1	4588	6318	1	1097_Pyrenophora_teres	GCA_009728675.1	1731	1.0	Group_8	Pyrenophora_teres	MFS_1	PF07690.17	nan
KAE8840894.1	4588	6318	1	1097_Pyrenophora_teres	GCA_009728675.1	1731	1.0	Group_8	Pyrenophora_teres	TRI12	PF06609.14	nan
KAF1934949.1	1	5297	1	1129_Clathrospora_elynae	GCA_010015635.1	5297	1.0	Group_15	Clathrospora_elynae	AMP-binding	PF00501.29	nan
KAF1934949.1	1	5297	1	1129_Clathrospora_elynae	GCA_010015635.1	5297	1.0	Group_15	Clathrospora_elynae	DIT1_PvcA	PF05141.13	nan
KAF1934949.1	1	5297	1	1129_Clathrospora_elynae	GCA_010015635.1	5297	1.0	Group_15	Clathrospora_elynae	PP-binding	PF00550.26	nan
