Protein	Start	Stop	Direction	BGC_Name	NCBI_Accession	ProteinSize	OrderInCluster	GroupName	RealSpecies	Domain	Domain_Accession	DupGroupName
TKW59574.1	1	1442	0	1007_Colletotrichum_tanaceti	GCA_005350895.1	1442	1.0	Group_6	Colletotrichum_tanaceti	DHR10	PF18595.2	nan
TKW59574.1	1	1442	0	1007_Colletotrichum_tanaceti	GCA_005350895.1	1442	1.0	Group_6	Colletotrichum_tanaceti	Nuf2	PF03800.15	nan
TKW59571.1	9598	12498	1	1007_Colletotrichum_tanaceti	GCA_005350895.1	2901	2.0	Group_0	Colletotrichum_tanaceti	none	none	nan
TKW59575.1	14427	16521	0	1007_Colletotrichum_tanaceti	GCA_005350895.1	2095	3.0	Group_1	Colletotrichum_tanaceti	HET	PF06985.12	nan
TKW59564.1	17180	18228	1	1007_Colletotrichum_tanaceti	GCA_005350895.1	1049	4.0	Group_2	Colletotrichum_tanaceti	Mpv17_PMP22	PF04117.13	Group_2.1
TKW59565.1	18719	20224	1	1007_Colletotrichum_tanaceti	GCA_005350895.1	1506	5.0	Group_2	Colletotrichum_tanaceti	DHO_dh	PF01180.22	Group_2.2
TKW59576.1	21879	24276	0	1007_Colletotrichum_tanaceti	GCA_005350895.1	2398	6.0	Group_3	Colletotrichum_tanaceti	DIT1_PvcA	PF05141.13	nan
TKW59586.1	24488	26831	1	1007_Colletotrichum_tanaceti	GCA_005350895.1	2344	7.0	Group_4	Colletotrichum_tanaceti	MFS_1	PF07690.17	nan
TKW59585.1	28746	30898	1	1007_Colletotrichum_tanaceti	GCA_005350895.1	2153	8.0	Group_5	Colletotrichum_tanaceti	Cu-oxidase	PF00394.23	nan
TKW59585.1	28746	30898	1	1007_Colletotrichum_tanaceti	GCA_005350895.1	2153	8.0	Group_5	Colletotrichum_tanaceti	Cu-oxidase_2	PF07731.15	nan
TKW59585.1	28746	30898	1	1007_Colletotrichum_tanaceti	GCA_005350895.1	2153	8.0	Group_5	Colletotrichum_tanaceti	Cu-oxidase_3	PF07732.16	nan
KAF4778428.1	2523	4974	1	1232_Colletotrichum_scovillei	GCA_011075155.1	2452	9.0	Group_5	Colletotrichum_scovillei	Cu-oxidase	PF00394.23	nan
KAF4778428.1	2523	4974	1	1232_Colletotrichum_scovillei	GCA_011075155.1	2452	9.0	Group_5	Colletotrichum_scovillei	Cu-oxidase_2	PF07731.15	nan
KAF4778428.1	2523	4974	1	1232_Colletotrichum_scovillei	GCA_011075155.1	2452	9.0	Group_5	Colletotrichum_scovillei	Cu-oxidase_3	PF07732.16	nan
KAF4778748.1	6469	7980	1	1232_Colletotrichum_scovillei	GCA_011075155.1	1512	8.0	Group_4	Colletotrichum_scovillei	MFS_1	PF07690.17	nan
KAF4778874.1	9112	11230	0	1232_Colletotrichum_scovillei	GCA_011075155.1	2119	7.0	Group_3	Colletotrichum_scovillei	DIT1_PvcA	PF05141.13	nan
KAF4778546.1	11460	12953	1	1232_Colletotrichum_scovillei	GCA_011075155.1	1494	6.0	Group_2	Colletotrichum_scovillei	DHO_dh	PF01180.22	nan
