Protein	Start	Stop	Direction	BGC_Name	NCBI_Accession	ProteinSize	OrderInCluster	GroupName	RealSpecies	Domain	Domain_Accession	DupGroupName
QKX59672.1	29580	31628	1	1401_Talaromyces_rugulosus	GCA_013368755.1	2049	10.0	Group_0	Talaromyces_rugulosus	DIT1_PvcA	PF05141.13	Group_0.4
QKX59672.1	29580	31628	1	1401_Talaromyces_rugulosus	GCA_013368755.1	2049	10.0	Group_0	Talaromyces_rugulosus	TauD	PF02668.17	nan
QKX59673.1	34591	36459	1	1401_Talaromyces_rugulosus	GCA_013368755.1	1869	9.0	Group_1	Talaromyces_rugulosus	DAO	PF01266.25	Group_1.7
QKX59673.1	34591	36459	1	1401_Talaromyces_rugulosus	GCA_013368755.1	1869	9.0	Group_1	Talaromyces_rugulosus	FAD_binding_3	PF01494.20	nan
QKX59674.1	37833	38819	0	1401_Talaromyces_rugulosus	GCA_013368755.1	987	8.0	Group_2	Talaromyces_rugulosus	KR	PF08659.11	Group_2.6
QKX59674.1	37833	38819	0	1401_Talaromyces_rugulosus	GCA_013368755.1	987	8.0	Group_2	Talaromyces_rugulosus	adh_short	PF00106.26	nan
QKX59674.1	37833	38819	0	1401_Talaromyces_rugulosus	GCA_013368755.1	987	8.0	Group_2	Talaromyces_rugulosus	adh_short_C2	PF13561.7	nan
QKX59675.1	39814	41285	1	1401_Talaromyces_rugulosus	GCA_013368755.1	1472	7.0	Group_3	Talaromyces_rugulosus	MFS_1	PF07690.17	nan
QKX59676.1	43638	45637	0	1401_Talaromyces_rugulosus	GCA_013368755.1	2000	6.0	Group_4	Talaromyces_rugulosus	CoA_transf_3	PF02515.18	Group_4.2
QKX59677.1	45850	47058	1	1401_Talaromyces_rugulosus	GCA_013368755.1	1209	5.0	Group_5	Talaromyces_rugulosus	SAT	PF16073.6	nan
EEP78010.1	3004	4692	0	17_Uncinocarpus_reesii	GCA_000003515.2	1689	13.0	Group_3	Uncinocarpus_reesii	MFS_1	PF07690.17	nan
EEP78011.1	6707	7981	1	17_Uncinocarpus_reesii	GCA_000003515.2	1275	12.0	Group_2	Uncinocarpus_reesii	KR	PF08659.11	Group_2.6
EEP78011.1	6707	7981	1	17_Uncinocarpus_reesii	GCA_000003515.2	1275	12.0	Group_2	Uncinocarpus_reesii	adh_short	PF00106.26	nan
EEP78011.1	6707	7981	1	17_Uncinocarpus_reesii	GCA_000003515.2	1275	12.0	Group_2	Uncinocarpus_reesii	adh_short_C2	PF13561.7	nan
EEP78012.1	8972	10903	0	17_Uncinocarpus_reesii	GCA_000003515.2	1932	11.0	Group_1	Uncinocarpus_reesii	DAO	PF01266.25	Group_1.7
EEP78012.1	8972	10903	0	17_Uncinocarpus_reesii	GCA_000003515.2	1932	11.0	Group_1	Uncinocarpus_reesii	FAD_binding_3	PF01494.20	nan
EEP78012.1	8972	10903	0	17_Uncinocarpus_reesii	GCA_000003515.2	1932	11.0	Group_1	Uncinocarpus_reesii	FAD_oxidored	PF12831.8	nan
