Protein	Start	Stop	Direction	BGC_Name	NCBI_Accession	ProteinSize	OrderInCluster	GroupName	RealSpecies	Domain	Domain_Accession	DupGroupName
QLI74787.1	38905	40179	0	1469_Metarhizium_brunneum	GCA_013426205.1	1275	1.0	Group_1	Metarhizium_brunneum	tRNA-synt_1b	PF00579.26	nan
QLI74328.1	42066	43550	1	1469_Metarhizium_brunneum	GCA_013426205.1	1485	2.0	Group_2	Metarhizium_brunneum	Aldedh	PF00171.23	nan
QLI74763.1	44570	46425	1	1469_Metarhizium_brunneum	GCA_013426205.1	1856	3.0	Group_3	Metarhizium_brunneum	DIT1_PvcA	PF05141.13	nan
QLI74428.1	46969	48273	0	1469_Metarhizium_brunneum	GCA_013426205.1	1305	4.0	Group_4	Metarhizium_brunneum	MFS_1	PF07690.17	nan
QLI74024.1	49165	50538	1	1469_Metarhizium_brunneum	GCA_013426205.1	1374	5.0	Group_5	Metarhizium_brunneum	DAO	PF01266.25	nan
QLI74024.1	49165	50538	1	1469_Metarhizium_brunneum	GCA_013426205.1	1374	5.0	Group_5	Metarhizium_brunneum	NAD_binding_8	PF13450.7	nan
KAG8412687.1	19723	21878	0	1658_Metarhizium_acridum	GCA_019434415.1	2156	1.0	Group_1	Metarhizium_acridum	tRNA-synt_1b	PF00579.26	nan
KAG8412688.1	22751	25294	1	1658_Metarhizium_acridum	GCA_019434415.1	2544	2.0	Group_2	Metarhizium_acridum	Aldedh	PF00171.23	nan
KAG8412689.1	25895	30097	1	1658_Metarhizium_acridum	GCA_019434415.1	4203	3.0	Group_3	Metarhizium_acridum	DIT1_PvcA	PF05141.13	nan
KAG8412690.1	28551	29856	0	1658_Metarhizium_acridum	GCA_019434415.1	1306	4.0	Group_4	Metarhizium_acridum	MFS_1	PF07690.17	nan
KAG8412691.1	30439	32142	1	1658_Metarhizium_acridum	GCA_019434415.1	1704	5.0	Group_5	Metarhizium_acridum	DAO	PF01266.25	nan
KAG8412691.1	30439	32142	1	1658_Metarhizium_acridum	GCA_019434415.1	1704	5.0	Group_5	Metarhizium_acridum	NAD_binding_8	PF13450.7	nan
KAG8412692.1	32433	33748	0	1658_Metarhizium_acridum	GCA_019434415.1	1316	6.0	Group_10	Metarhizium_acridum	ADH_N	PF08240.13	nan
KAG8412692.1	32433	33748	0	1658_Metarhizium_acridum	GCA_019434415.1	1316	6.0	Group_10	Metarhizium_acridum	ADH_zinc_N	PF00107.27	nan
KJK76316.1	1	1901	1	205_Metarhizium_anisopliae	GCA_000426965.1	1901	3.0	Group_3	Metarhizium_anisopliae	DIT1_PvcA	PF05141.13	nan
KJK76317.1	2919	4403	1	205_Metarhizium_anisopliae	GCA_000426965.1	1485	2.0	Group_2	Metarhizium_anisopliae	Aldedh	PF00171.23	nan
KJK76318.1	6328	7602	0	205_Metarhizium_anisopliae	GCA_000426965.1	1275	1.0	Group_1	Metarhizium_anisopliae	tRNA-synt_1b	PF00579.26	nan
KJK94085.1	1	1901	1	210_Metarhizium_anisopliae	GCA_000426985.1	1901	3.0	Group_3	Metarhizium_anisopliae	DIT1_PvcA	PF05141.13	nan
KJK94086.1	2919	4403	1	210_Metarhizium_anisopliae	GCA_000426985.1	1485	2.0	Group_2	Metarhizium_anisopliae	Aldedh	PF00171.23	nan
