Protein	Start	Stop	Direction	BGC_Name	NCBI_Accession	ProteinSize	OrderInCluster	GroupName	RealSpecies	Domain	Domain_Accession	DupGroupName
KAE9574040.1	5714	7315	0	1108_Colletotrichum_fructicola	GCA_009771025.1	1602	1.0	Group_1	Colletotrichum_fructicola	MFS_1	PF07690.17	nan
KAE9574033.1	8880	10954	0	1108_Colletotrichum_fructicola	GCA_009771025.1	2075	2.0	Group_2	Colletotrichum_fructicola	FAD_binding_3	PF01494.20	nan
KAE9574033.1	8880	10954	0	1108_Colletotrichum_fructicola	GCA_009771025.1	2075	2.0	Group_2	Colletotrichum_fructicola	Pyr_redox_2	PF07992.15	nan
KAE9574034.1	12826	14869	1	1108_Colletotrichum_fructicola	GCA_009771025.1	2044	3.0	Group_3	Colletotrichum_fructicola	DIT1_PvcA	PF05141.13	nan
KAE9574034.1	12826	14869	1	1108_Colletotrichum_fructicola	GCA_009771025.1	2044	3.0	Group_3	Colletotrichum_fructicola	TauD	PF02668.17	nan
KAE9574035.1	15309	16646	0	1108_Colletotrichum_fructicola	GCA_009771025.1	1338	4.0	Group_4	Colletotrichum_fructicola	DAO	PF01266.25	nan
KAE9574035.1	15309	16646	0	1108_Colletotrichum_fructicola	GCA_009771025.1	1338	4.0	Group_4	Colletotrichum_fructicola	FAD_binding_3	PF01494.20	nan
KAE9574036.1	17695	18498	1	1108_Colletotrichum_fructicola	GCA_009771025.1	804	5.0	Group_5	Colletotrichum_fructicola	Abhydrolase_6	PF12697.8	nan
KAE9574036.1	17695	18498	1	1108_Colletotrichum_fructicola	GCA_009771025.1	804	5.0	Group_5	Colletotrichum_fructicola	Hydrolase_4	PF12146.9	nan
KAE9574029.1	18781	21033	0	1108_Colletotrichum_fructicola	GCA_009771025.1	2253	6.0	Group_6	Colletotrichum_fructicola	Fungal_trans	PF04082.19	nan
KAF0331197.1	3360	5609	0	1116_Colletotrichum_asianum	GCA_009806415.1	2250	10.0	Group_6	Colletotrichum_asianum	Fungal_trans	PF04082.19	nan
KAF0331197.1	3360	5609	0	1116_Colletotrichum_asianum	GCA_009806415.1	2250	10.0	Group_6	Colletotrichum_asianum	Zn_clus	PF00172.19	nan
KAF0331198.1	5896	6704	1	1116_Colletotrichum_asianum	GCA_009806415.1	809	9.0	Group_5	Colletotrichum_asianum	Abhydrolase_6	PF12697.8	nan
KAF0331199.1	7723	9060	0	1116_Colletotrichum_asianum	GCA_009806415.1	1338	8.0	Group_4	Colletotrichum_asianum	DAO	PF01266.25	nan
KAF0331199.1	7723	9060	0	1116_Colletotrichum_asianum	GCA_009806415.1	1338	8.0	Group_4	Colletotrichum_asianum	FAD_binding_3	PF01494.20	nan
KAF0331200.1	9862	11905	1	1116_Colletotrichum_asianum	GCA_009806415.1	2044	7.0	Group_3	Colletotrichum_asianum	DIT1_PvcA	PF05141.13	nan
KAF0331200.1	9862	11905	1	1116_Colletotrichum_asianum	GCA_009806415.1	2044	7.0	Group_3	Colletotrichum_asianum	TauD	PF02668.17	nan
KAF0331201.1	13774	15785	0	1116_Colletotrichum_asianum	GCA_009806415.1	2012	6.0	Group_2	Colletotrichum_asianum	FAD_binding_3	PF01494.20	nan
KAF0331201.1	13774	15785	0	1116_Colletotrichum_asianum	GCA_009806415.1	2012	6.0	Group_2	Colletotrichum_asianum	Pyr_redox_2	PF07992.15	nan
KAF0331202.1	17349	18950	0	1116_Colletotrichum_asianum	GCA_009806415.1	1602	5.0	Group_1	Colletotrichum_asianum	MFS_1	PF07690.17	nan
KAF4777200.1	15641	17905	0	1234_Colletotrichum_scovillei	GCA_011075155.1	2265	14.0	Group_6	Colletotrichum_scovillei	Fungal_trans	PF04082.19	nan
KAF4777200.1	15641	17905	0	1234_Colletotrichum_scovillei	GCA_011075155.1	2265	14.0	Group_6	Colletotrichum_scovillei	Zn_clus	PF00172.19	nan
KAF4776060.1	18286	19091	1	1234_Colletotrichum_scovillei	GCA_011075155.1	806	13.0	Group_5	Colletotrichum_scovillei	Abhydrolase_6	PF12697.8	nan
KAF4776060.1	18286	19091	1	1234_Colletotrichum_scovillei	GCA_011075155.1	806	13.0	Group_5	Colletotrichum_scovillei	Hydrolase_4	PF12146.9	nan
KAF4777158.1	20126	21481	0	1234_Colletotrichum_scovillei	GCA_011075155.1	1356	12.0	Group_4	Colletotrichum_scovillei	DAO	PF01266.25	nan
KAF4777158.1	20126	21481	0	1234_Colletotrichum_scovillei	GCA_011075155.1	1356	12.0	Group_4	Colletotrichum_scovillei	FAD_binding_3	PF01494.20	nan
KAF4777158.1	20126	21481	0	1234_Colletotrichum_scovillei	GCA_011075155.1	1356	12.0	Group_4	Colletotrichum_scovillei	NAD_binding_9	PF13454.7	nan
KAF4777158.1	20126	21481	0	1234_Colletotrichum_scovillei	GCA_011075155.1	1356	12.0	Group_4	Colletotrichum_scovillei	Pyr_redox_2	PF07992.15	nan
KAF4777158.1	20126	21481	0	1234_Colletotrichum_scovillei	GCA_011075155.1	1356	12.0	Group_4	Colletotrichum_scovillei	SE	PF08491.11	nan
KAF4776201.1	28114	30173	1	1234_Colletotrichum_scovillei	GCA_011075155.1	2060	11.0	Group_3	Colletotrichum_scovillei	DIT1_PvcA	PF05141.13	nan
KAF4776201.1	28114	30173	1	1234_Colletotrichum_scovillei	GCA_011075155.1	2060	11.0	Group_3	Colletotrichum_scovillei	TauD	PF02668.17	nan
KAF4775716.1	31852	34253	0	1234_Colletotrichum_scovillei	GCA_011075155.1	2402	10.0	Group_2	Colletotrichum_scovillei	FAD_binding_3	PF01494.20	nan
KAF4775716.1	31852	34253	0	1234_Colletotrichum_scovillei	GCA_011075155.1	2402	10.0	Group_2	Colletotrichum_scovillei	Pyr_redox_2	PF07992.15	nan
KAF4777143.1	36478	38049	0	1234_Colletotrichum_scovillei	GCA_011075155.1	1572	9.0	Group_1	Colletotrichum_scovillei	MFS_1	PF07690.17	nan
KAF3800212.1	1	2085	0	1251_Colletotrichum_gloeosporioides	GCA_011800055.1	2085	1.0	Group_2	Colletotrichum_gloeosporioides	FAD_binding_3	PF01494.20	nan
KAF3800212.1	1	2085	0	1251_Colletotrichum_gloeosporioides	GCA_011800055.1	2085	1.0	Group_2	Colletotrichum_gloeosporioides	Pyr_redox_2	PF07992.15	nan
