Protein	Start	Stop	Direction	BGC_Name	NCBI_Accession	ProteinSize	OrderInCluster	GroupName	RealSpecies	Domain	Domain_Accession	DupGroupName
QRD83887.1	1	2580	1	1035_Aspergillus_flavus	GCA_009017415.1	2580	3.0	Group_0	Aspergillus_flavus	p450	PF00067.23	nan
QRD83888.1	2581	4709	0	1035_Aspergillus_flavus	GCA_009017415.1	2129	2.0	Group_1	Aspergillus_flavus	DIT1_PvcA	PF05141.13	nan
QRD83889.1	4710	6687	1	1035_Aspergillus_flavus	GCA_009017415.1	1978	1.0	Group_2	Aspergillus_flavus	PP2C	PF00481.22	Group_2.1
KAB8077333.1	3412	6713	1	1038_Aspergillus_leporis	GCA_009176345.1	3302	12.0	Group_6	Aspergillus_leporis	ArAE_2	PF10334.10	nan
KAB8077333.1	3412	6713	1	1038_Aspergillus_leporis	GCA_009176345.1	3302	12.0	Group_6	Aspergillus_leporis	ArAE_2_N	PF10337.10	nan
KAB8077333.1	3412	6713	1	1038_Aspergillus_leporis	GCA_009176345.1	3302	12.0	Group_6	Aspergillus_leporis	FUSC_2	PF13515.7	nan
KAB8077334.1	7529	8682	0	1038_Aspergillus_leporis	GCA_009176345.1	1154	11.0	Group_7	Aspergillus_leporis	none	none	nan
KAB8077335.1	8682	9771	1	1038_Aspergillus_leporis	GCA_009176345.1	1090	10.0	Group_8	Aspergillus_leporis	none	none	Group_8.1
KAB8077336.1	9789	10981	1	1038_Aspergillus_leporis	GCA_009176345.1	1193	9.0	Group_8	Aspergillus_leporis	HAD_2	PF13419.7	Group_8.2
KAB8077341.1	21545	23268	1	1038_Aspergillus_leporis	GCA_009176345.1	1724	8.0	Group_9	Aspergillus_leporis	MFS_1	PF07690.17	Group_9.2
KAB8077341.1	21545	23268	1	1038_Aspergillus_leporis	GCA_009176345.1	1724	8.0	Group_9	Aspergillus_leporis	Sugar_tr	PF00083.25	nan
KAB8077342.1	23757	25570	0	1038_Aspergillus_leporis	GCA_009176345.1	1814	7.0	Group_10	Aspergillus_leporis	ATG22	PF11700.9	nan
KAB8077343.1	26248	28066	1	1038_Aspergillus_leporis	GCA_009176345.1	1819	6.0	Group_0	Aspergillus_leporis	p450	PF00067.23	nan
KAB8077344.1	28716	30314	0	1038_Aspergillus_leporis	GCA_009176345.1	1599	5.0	Group_1	Aspergillus_leporis	DIT1_PvcA	PF05141.13	nan
KAB8077345.1	31300	32949	1	1038_Aspergillus_leporis	GCA_009176345.1	1650	4.0	Group_2	Aspergillus_leporis	PP2C	PF00481.22	Group_2.1
KAB8231249.1	3542	6763	1	1040_Aspergillus_alliaceus	GCA_009176365.1	3222	11.0	Group_6	Aspergillus_alliaceus	ArAE_2	PF10334.10	nan
KAB8231249.1	3542	6763	1	1040_Aspergillus_alliaceus	GCA_009176365.1	3222	11.0	Group_6	Aspergillus_alliaceus	ArAE_2_N	PF10337.10	nan
KAB8231249.1	3542	6763	1	1040_Aspergillus_alliaceus	GCA_009176365.1	3222	11.0	Group_6	Aspergillus_alliaceus	FUSC_2	PF13515.7	nan
KAB8231250.1	9381	10093	0	1040_Aspergillus_alliaceus	GCA_009176365.1	713	10.0	Group_7	Aspergillus_alliaceus	none	none	nan
KAB8231251.1	10319	12159	1	1040_Aspergillus_alliaceus	GCA_009176365.1	1841	9.0	Group_8	Aspergillus_alliaceus	HAD_2	PF13419.7	Group_8.1
KAB8231252.1	12555	14801	1	1040_Aspergillus_alliaceus	GCA_009176365.1	2247	8.0	Group_9	Aspergillus_alliaceus	none	none	nan
KAB8231253.1	15050	19126	1	1040_Aspergillus_alliaceus	GCA_009176365.1	4077	7.0	Group_9	Aspergillus_alliaceus	MFS_1	PF07690.17	Group_9.3
KAB8231253.1	15050	19126	1	1040_Aspergillus_alliaceus	GCA_009176365.1	4077	7.0	Group_9	Aspergillus_alliaceus	Sugar_tr	PF00083.25	nan
KAB8231254.1	19624	21445	0	1040_Aspergillus_alliaceus	GCA_009176365.1	1822	6.0	Group_10	Aspergillus_alliaceus	ATG22	PF11700.9	nan
KAB8231255.1	22164	24147	1	1040_Aspergillus_alliaceus	GCA_009176365.1	1984	5.0	Group_0	Aspergillus_alliaceus	p450	PF00067.23	nan
KAB8231256.1	24640	26270	0	1040_Aspergillus_alliaceus	GCA_009176365.1	1631	4.0	Group_1	Aspergillus_alliaceus	DIT1_PvcA	PF05141.13	nan
