Protein	Start	Stop	Direction	BGC_Name	NCBI_Accession	ProteinSize	OrderInCluster	GroupName	RealSpecies	Domain	Domain_Accession	DupGroupName
KAF5122432.1	1	1776	1	1379_Metarhizium_anisopliae	GCA_013305495.1	1776	1.0	Group_0	Metarhizium_anisopliae	DIT1_PvcA	PF05141.13	nan
QLI74052.1	3009	3863	0	1471_Metarhizium_brunneum	GCA_013426205.1	855	1.0	Group_5	Metarhizium_brunneum	AAA_21	PF13304.7	nan
QLI74052.1	3009	3863	0	1471_Metarhizium_brunneum	GCA_013426205.1	855	1.0	Group_5	Metarhizium_brunneum	ABC_tran	PF00005.28	nan
QLI74154.1	11890	13585	0	1471_Metarhizium_brunneum	GCA_013426205.1	1696	2.0	Group_4	Metarhizium_brunneum	p450	PF00067.23	nan
QLI74527.1	14770	16550	1	1471_Metarhizium_brunneum	GCA_013426205.1	1781	3.0	Group_0	Metarhizium_brunneum	DIT1_PvcA	PF05141.13	nan
KAG5917004.1	1	1895	0	1599_Claviceps_capensis	GCA_018360045.1	1895	1.0	Group_10	Claviceps_capensis	MFS_1	PF07690.17	nan
KAG5917004.1	1	1895	0	1599_Claviceps_capensis	GCA_018360045.1	1895	1.0	Group_10	Claviceps_capensis	Sugar_tr	PF00083.25	nan
KAG5917005.1	2881	5092	1	1599_Claviceps_capensis	GCA_018360045.1	2212	2.0	Group_11	Claviceps_capensis	ATG22	PF11700.9	nan
KAG5917006.1	5642	7668	0	1599_Claviceps_capensis	GCA_018360045.1	2027	3.0	Group_0	Claviceps_capensis	DIT1_PvcA	PF05141.13	nan
KAG5917007.1	9433	11239	1	1599_Claviceps_capensis	GCA_018360045.1	1807	4.0	Group_4	Claviceps_capensis	p450	PF00067.23	nan
KAG5948887.1	1	1728	1	1600_Claviceps_pazoutovae	GCA_018360065.1	1728	5.0	Group_4	Claviceps_pazoutovae	p450	PF00067.23	nan
KAG5948888.1	3479	5477	0	1600_Claviceps_pazoutovae	GCA_018360065.1	1999	4.0	Group_0	Claviceps_pazoutovae	DIT1_PvcA	PF05141.13	nan
KAG5948889.1	6024	8236	1	1600_Claviceps_pazoutovae	GCA_018360065.1	2213	3.0	Group_11	Claviceps_pazoutovae	ATG22	PF11700.9	nan
KAG5948890.1	9222	11116	0	1600_Claviceps_pazoutovae	GCA_018360065.1	1895	2.0	Group_10	Claviceps_pazoutovae	MFS_1	PF07690.17	nan
KAG5948890.1	9222	11116	0	1600_Claviceps_pazoutovae	GCA_018360065.1	1895	2.0	Group_10	Claviceps_pazoutovae	Sugar_tr	PF00083.25	nan
KAG5958322.1	1	1713	1	1601_Claviceps_arundinis	GCA_018360085.1	1713	5.0	Group_4	Claviceps_arundinis	p450	PF00067.23	nan
KAG5958323.1	3412	5378	0	1601_Claviceps_arundinis	GCA_018360085.1	1967	4.0	Group_0	Claviceps_arundinis	DIT1_PvcA	PF05141.13	nan
KAG5958324.1	5895	8102	1	1601_Claviceps_arundinis	GCA_018360085.1	2208	3.0	Group_11	Claviceps_arundinis	ATG22	PF11700.9	nan
KAG5958325.1	9110	11006	0	1601_Claviceps_arundinis	GCA_018360085.1	1897	2.0	Group_10	Claviceps_arundinis	MFS_1	PF07690.17	nan
KAG5958325.1	9110	11006	0	1601_Claviceps_arundinis	GCA_018360085.1	1897	2.0	Group_10	Claviceps_arundinis	Sugar_tr	PF00083.25	nan
KAG5965119.1	9184	11080	0	1602_Claviceps_arundinis	GCA_018360175.1	1897	1.0	Group_10	Claviceps_arundinis	MFS_1	PF07690.17	nan
KAG5965119.1	9184	11080	0	1602_Claviceps_arundinis	GCA_018360175.1	1897	1.0	Group_10	Claviceps_arundinis	Sugar_tr	PF00083.25	nan
KAG5965120.1	12088	14295	1	1602_Claviceps_arundinis	GCA_018360175.1	2208	2.0	Group_11	Claviceps_arundinis	ATG22	PF11700.9	nan
KAG5965121.1	14806	16772	0	1602_Claviceps_arundinis	GCA_018360175.1	1967	3.0	Group_0	Claviceps_arundinis	DIT1_PvcA	PF05141.13	nan
KAG5965122.1	18471	20185	1	1602_Claviceps_arundinis	GCA_018360175.1	1715	4.0	Group_4	Claviceps_arundinis	p450	PF00067.23	nan
KAG6026312.1	1	1917	0	1603_Claviceps_spp	GCA_018360355.1	1917	1.0	Group_10	Claviceps_spp	MFS_1	PF07690.17	nan
KAG6026312.1	1	1917	0	1603_Claviceps_spp	GCA_018360355.1	1917	1.0	Group_10	Claviceps_spp	Sugar_tr	PF00083.25	nan
KAG6026313.1	2949	5179	1	1603_Claviceps_spp	GCA_018360355.1	2231	2.0	Group_11	Claviceps_spp	ATG22	PF11700.9	nan
KAG6026314.1	5749	7777	0	1603_Claviceps_spp	GCA_018360355.1	2029	3.0	Group_0	Claviceps_spp	DIT1_PvcA	PF05141.13	nan
