Protein	Start	Stop	Direction	BGC_Name	NCBI_Accession	ProteinSize	OrderInCluster	GroupName	RealSpecies	Domain	Domain_Accession	DupGroupName
KAF1832320.1	7373	8338	1	1125_Decorospora_gaudefroyi	GCA_010015605.1	966	4.0	Group_3	Decorospora_gaudefroyi	Ctr	PF04145.16	nan
KAF1832321.1	10774	12403	1	1125_Decorospora_gaudefroyi	GCA_010015605.1	1630	3.0	Group_0	Decorospora_gaudefroyi	DIT1_PvcA	PF05141.13	nan
KAF1832322.1	13365	14989	0	1125_Decorospora_gaudefroyi	GCA_010015605.1	1625	2.0	Group_1	Decorospora_gaudefroyi	p450	PF00067.23	Group_1.1
KAF1832324.1	17731	19565	0	1125_Decorospora_gaudefroyi	GCA_010015605.1	1835	1.0	Group_1	Decorospora_gaudefroyi	MFS_1	PF07690.17	Group_1.4
KAF1848412.1	1	1658	1	1127_Cucurbitaria_berberidis	GCA_010015615.1	1658	2.0	Group_0	Cucurbitaria_berberidis	DIT1_PvcA	PF05141.13	nan
KAF1848413.1	2591	4123	0	1127_Cucurbitaria_berberidis	GCA_010015615.1	1533	1.0	Group_1	Cucurbitaria_berberidis	p450	PF00067.23	Group_1.1
KAF1942549.1	1	1678	0	1130_Clathrospora_elynae	GCA_010015635.1	1678	1.0	Group_1	Clathrospora_elynae	MFS_1	PF07690.17	nan
KAF1942550.1	3454	5464	0	1130_Clathrospora_elynae	GCA_010015635.1	2011	2.0	Group_1	Clathrospora_elynae	p450	PF00067.23	Group_1.4
KAF1942551.1	6124	8516	1	1130_Clathrospora_elynae	GCA_010015635.1	2393	3.0	Group_0	Clathrospora_elynae	DIT1_PvcA	PF05141.13	nan
KAF1942552.1	9087	9958	1	1130_Clathrospora_elynae	GCA_010015635.1	872	4.0	Group_8	Clathrospora_elynae	DJ-1_PfpI	PF01965.25	nan
KAF1942553.1	11308	11904	1	1130_Clathrospora_elynae	GCA_010015635.1	597	5.0	Group_3	Clathrospora_elynae	Ctr	PF04145.16	nan
KAF2008482.1	1	1524	0	1137_Aaosphaeria_arxii	GCA_010015735.1	1524	1.0	Group_1	Aaosphaeria_arxii	p450	PF00067.23	Group_1.1
KAF2008483.1	2530	4404	1	1137_Aaosphaeria_arxii	GCA_010015735.1	1875	2.0	Group_0	Aaosphaeria_arxii	DIT1_PvcA	PF05141.13	nan
KAF2031085.1	14085	14868	1	1140_Setomelanomma_holmii	GCA_010015745.1	784	6.0	Group_3	Setomelanomma_holmii	Ctr	PF04145.16	nan
KAF2031086.1	16312	17123	1	1140_Setomelanomma_holmii	GCA_010015745.1	812	5.0	Group_8	Setomelanomma_holmii	DJ-1_PfpI	PF01965.25	nan
KAF2031087.1	18307	19944	1	1140_Setomelanomma_holmii	GCA_010015745.1	1638	4.0	Group_0	Setomelanomma_holmii	DIT1_PvcA	PF05141.13	nan
KAF2031088.1	20915	22450	0	1140_Setomelanomma_holmii	GCA_010015745.1	1536	3.0	Group_1	Setomelanomma_holmii	p450	PF00067.23	Group_1.1
KAF2031089.1	25612	27178	0	1140_Setomelanomma_holmii	GCA_010015745.1	1567	2.0	Group_1	Setomelanomma_holmii	MFS_1	PF07690.17	Group_1.4
KAF2031089.1	25612	27178	0	1140_Setomelanomma_holmii	GCA_010015745.1	1567	2.0	Group_1	Setomelanomma_holmii	Sugar_tr	PF00083.25	nan
