ID	Species
Talaromyces_marneffei_GCA_000001985.1_EEA25488.1	Talaromyces_marneffei
Talaromyces_marneffei_GCA_000001985.1_EEA28631.1	Talaromyces_marneffei
Talaromyces_marneffei_GCA_000001985.1_EEA23999.1	Talaromyces_marneffei
Talaromyces_marneffei_GCA_000001985.1_EEA28628.1	Talaromyces_marneffei
Pyricularia_oryzae_GCA_000002495.2_EHA49731.1	Pyricularia_oryzae
Kluyveromyces_lactis_GCA_000002515.1_CAH01350.1	Kluyveromyces_lactis
Candida_glabrata_GCA_000002545.2_CAG59009.1	Candida_glabrata
Aspergillus_fumigatus_GCA_000002655.1_EAL86038.2	Aspergillus_fumigatus
Aspergillus_fumigatus_GCA_000002655.1_EAL92217.1	Aspergillus_fumigatus
Aspergillus_fumigatus_GCA_000002655.1_EAL84277.1	Aspergillus_fumigatus
Aspergillus_fumigatus_GCA_000002655.1_EAL84283.1	Aspergillus_fumigatus
Aspergillus_clavatus_GCA_000002715.1_EAW12455.1	Aspergillus_clavatus
Aspergillus_clavatus_GCA_000002715.1_EAW14838.1	Aspergillus_clavatus
Aspergillus_clavatus_GCA_000002715.1_EAW12213.1	Aspergillus_clavatus
Aspergillus_clavatus_GCA_000002715.1_EAW12218.1	Aspergillus_clavatus
Aspergillus_niger_GCA_000002855.2_CAK43603.1	Aspergillus_niger
Talaromyces_stipitatus_GCA_000003125.1_EED16026.1	Talaromyces_stipitatus
Talaromyces_stipitatus_GCA_000003125.1_EED22840.1	Talaromyces_stipitatus
Talaromyces_stipitatus_GCA_000003125.1_EED22843.1	Talaromyces_stipitatus
Uncinocarpus_reesii_GCA_000003515.2_EEP75704.1	Uncinocarpus_reesii
Uncinocarpus_reesii_GCA_000003515.2_EEP80070.1	Uncinocarpus_reesii
Uncinocarpus_reesii_GCA_000003515.2_EEP78013.1	Uncinocarpus_reesii
Blastomyces_dermatitidis_GCA_000003525.2_EEQ86903.2	Blastomyces_dermatitidis
Clavispora_lusitaniae_GCA_000003835.1_EEQ39758.1	Clavispora_lusitaniae
Blastomyces_gilchristii_GCA_000003855.2_OAT07844.1	Blastomyces_gilchristii
Aspergillus_flavus_GCA_000006275.3_KAF7616902.1	Aspergillus_flavus
Aspergillus_flavus_GCA_000006275.3_KAF7623199.1	Aspergillus_flavus
Candida_tropicalis_GCA_000006335.3_EER35776.1	Candida_tropicalis
Aspergillus_nidulans_GCA_000011425.1_CBF84178.1	Aspergillus_nidulans
Aspergillus_nidulans_GCA_000011425.1_CBF87187.1	Aspergillus_nidulans
Zygosaccharomyces_rouxii_GCA_000026365.1_CAR28009.1	Zygosaccharomyces_rouxii
Candida_dubliniensis_GCA_000026945.1_CAX40025.1	Candida_dubliniensis
Eremothecium_gossypii_GCA_000091025.4_AAS53772.1	Eremothecium_gossypii
Lachancea_thermotolerans_GCA_000142805.1_CAR24728.1	Lachancea_thermotolerans
Grosmannia_clavigera_GCA_000143105.2_EFX05940.1	Grosmannia_clavigera
Chaetomium_globosum_GCA_000143365.1_EAQ88647.1	Chaetomium_globosum
Botrytis_cinerea_GCA_000143535.4_ATZ53190.1	Botrytis_cinerea
Gaeumannomyces_tritici_GCA_000145635.1_EJT78372.1	Gaeumannomyces_tritici
Saccharomyces_cerevisiae_GCA_000146045.2_DAA12245.1	Saccharomyces_cerevisiae
Parastagonospora_nodorum_GCA_000146915.2_EAT78593.2	Parastagonospora_nodorum
Parastagonospora_nodorum_GCA_000146915.2_EAT77919.2	Parastagonospora_nodorum
Parastagonospora_nodorum_GCA_000146915.2_EAT81050.2	Parastagonospora_nodorum
Colletotrichum_graminicola_GCA_000149035.1_EFQ27920.1	Colletotrichum_graminicola
Colletotrichum_graminicola_GCA_000149035.1_EFQ34126.1	Colletotrichum_graminicola
Colletotrichum_graminicola_GCA_000149035.1_EFQ34127.1	Colletotrichum_graminicola
Colletotrichum_graminicola_GCA_000149035.1_EFQ36191.1	Colletotrichum_graminicola
Colletotrichum_graminicola_GCA_000149035.1_EFQ36782.1	Colletotrichum_graminicola
Aspergillus_nidulans_GCA_000149205.2_EAA63107.1	Aspergillus_nidulans
Aspergillus_nidulans_GCA_000149205.2_EAA64711.1	Aspergillus_nidulans
Coccidioides_immitis_GCA_000149335.2_EAS27561.3	Coccidioides_immitis
Coccidioides_immitis_GCA_000149335.2_EAS34806.3	Coccidioides_immitis
Coccidioides_immitis_GCA_000149335.2_EAS35170.3	Coccidioides_immitis
Saccharomyces_cerevisiae_GCA_000149365.1_EDV07928.1	Saccharomyces_cerevisiae
Candida_albicans_GCA_000149445.2_EEQ43561.1	Candida_albicans
Fusarium_verticillioides_GCA_000149555.1_EWG47633.1	Fusarium_verticillioides
Fusarium_verticillioides_GCA_000149555.1_EWG49096.1	Fusarium_verticillioides
Fusarium_verticillioides_GCA_000149555.1_EWG49097.1	Fusarium_verticillioides
Fusarium_verticillioides_GCA_000149555.1_EWG49098.1	Fusarium_verticillioides
Histoplasma_capsulatum_GCA_000149585.1_EDN04080.1	Histoplasma_capsulatum
Aspergillus_fischeri_GCA_000149645.3_EAW24366.1	Aspergillus_fischeri
Aspergillus_fischeri_GCA_000149645.3_EAW21206.1	Aspergillus_fischeri
Aspergillus_fischeri_GCA_000149645.3_EAW25553.1	Aspergillus_fischeri
Aspergillus_fischeri_GCA_000149645.3_EAW25559.1	Aspergillus_fischeri
Lodderomyces_elongisporus_GCA_000149685.1_EDK45086.1	Lodderomyces_elongisporus
Coccidioides_immitis_GCA_000149815.1_KMU88393.1	Coccidioides_immitis
Coccidioides_immitis_GCA_000149815.1_KMU84583.1	Coccidioides_immitis
Coccidioides_immitis_GCA_000149815.1_KMU91915.1	Coccidioides_immitis
Coccidioides_immitis_GCA_000149895.1_KMP09520.1	Coccidioides_immitis
Coccidioides_immitis_GCA_000149895.1_KMO99984.1	Coccidioides_immitis
Coccidioides_immitis_GCA_000149895.1_KMP00392.1	Coccidioides_immitis
Fusarium_oxysporum_GCA_000149955.2_KNB09131.1	Fusarium_oxysporum
Fusarium_oxysporum_GCA_000149955.2_KNB09130.1	Fusarium_oxysporum
Fusarium_oxysporum_GCA_000149955.2_KNB12683.1	Fusarium_oxysporum
Fusarium_oxysporum_GCA_000149955.2_KNB01246.1	Fusarium_oxysporum
Pyrenophora_tritici-repentis_GCA_000149985.1_EDU43584.1	Pyrenophora_tritici-repentis
Vanderwaltozyma_polyspora_GCA_000150035.1_EDO14838.1	Vanderwaltozyma_polyspora
Coccidioides_posadasii_GCA_000150055.1_KMM71384.1	Coccidioides_posadasii
Coccidioides_posadasii_GCA_000150055.1_KMM66410.1	Coccidioides_posadasii
Coccidioides_posadasii_GCA_000150055.1_KMM66023.1	Coccidioides_posadasii
Coccidioides_immitis_GCA_000150085.1_KMU76796.1	Coccidioides_immitis
Coccidioides_immitis_GCA_000150085.1_KMU76888.1	Coccidioides_immitis
Histoplasma_capsulatum_GCA_000150115.1_EEH06074.1	Histoplasma_capsulatum
Aspergillus_fumigatus_GCA_000150145.1_EDP51118.1	Aspergillus_fumigatus
Aspergillus_fumigatus_GCA_000150145.1_EDP52387.1	Aspergillus_fumigatus
Aspergillus_fumigatus_GCA_000150145.1_EDP47197.1	Aspergillus_fumigatus
Aspergillus_fumigatus_GCA_000150145.1_EDP47192.1	Aspergillus_fumigatus
Verticillium_dahliae_GCA_000150675.2_EGY19342.1	Verticillium_dahliae
Paracoccidioides_lutzii_GCA_000150705.2_EEH36064.1	Paracoccidioides_lutzii
Paracoccidioides_brasiliensis_GCA_000150735.2_EEH46136.1	Paracoccidioides_brasiliensis
Verticillium_alfalfae_GCA_000150825.1_EEY17403.1	Verticillium_alfalfae
Verticillium_alfalfae_GCA_000150825.1_EEY16498.1	Verticillium_alfalfae
Histoplasma_capsulatum_GCA_000151005.2_EGC48830.1	Histoplasma_capsulatum
Histoplasma_capsulatum_GCA_000151035.1_EER37615.1	Histoplasma_capsulatum
Trichophyton_benhamiae_GCA_000151125.2_EFE33113.1	Trichophyton_benhamiae
Microsporum_canis_GCA_000151145.1_EEQ35859.1	Microsporum_canis
Trichophyton_equinum_GCA_000151175.1_EGE05591.1	Trichophyton_equinum
Coccidioides_posadasii_GCA_000151335.1_EER29955.1	Coccidioides_posadasii
Coccidioides_posadasii_GCA_000151335.1_EER24614.1	Coccidioides_posadasii
