Protein	Start	Stop	Direction	BGC_Name	NCBI_Accession	ProteinSize	OrderInCluster	GroupName	RealSpecies	Domain	Domain_Accession	DupGroupName
KAF2997561.1	23217	26397	1	1225_Curvularia_kusanoi	GCA_011058905.1	3181	10.0	Group_3	Curvularia_kusanoi	ANAPC4_WD40	PF12894.8	nan
KAF2997561.1	23217	26397	1	1225_Curvularia_kusanoi	GCA_011058905.1	3181	10.0	Group_3	Curvularia_kusanoi	Cytochrom_D1	PF02239.17	nan
KAF2997561.1	23217	26397	1	1225_Curvularia_kusanoi	GCA_011058905.1	3181	10.0	Group_3	Curvularia_kusanoi	Nucleoporin_N	PF08801.12	nan
KAF2997561.1	23217	26397	1	1225_Curvularia_kusanoi	GCA_011058905.1	3181	10.0	Group_3	Curvularia_kusanoi	Utp21	PF04192.13	nan
KAF2997561.1	23217	26397	1	1225_Curvularia_kusanoi	GCA_011058905.1	3181	10.0	Group_3	Curvularia_kusanoi	WD40	PF00400.33	nan
KAF2997563.1	32670	34566	1	1225_Curvularia_kusanoi	GCA_011058905.1	1897	9.0	Group_5	Curvularia_kusanoi	FAD_binding_3	PF01494.20	nan
KAF2997563.1	32670	34566	1	1225_Curvularia_kusanoi	GCA_011058905.1	1897	9.0	Group_5	Curvularia_kusanoi	Pyr_redox_3	PF13738.7	nan
KAF2997564.1	35538	36841	1	1225_Curvularia_kusanoi	GCA_011058905.1	1304	8.0	Group_0	Curvularia_kusanoi	MFS_1	PF07690.17	Group_0.1
KAF2997565.1	37645	39603	0	1225_Curvularia_kusanoi	GCA_011058905.1	1959	7.0	Group_1	Curvularia_kusanoi	DIT1_PvcA	PF05141.13	nan
KAF2997565.1	37645	39603	0	1225_Curvularia_kusanoi	GCA_011058905.1	1959	7.0	Group_1	Curvularia_kusanoi	TauD	PF02668.17	nan
QRC97157.1	1	1358	1	1558_Parastagonospora_nodorum	GCA_016801405.1	1358	3.0	Group_0	Parastagonospora_nodorum	MFS_1	PF07690.17	Group_0.1
QRC97158.1	2186	4140	0	1558_Parastagonospora_nodorum	GCA_016801405.1	1955	2.0	Group_1	Parastagonospora_nodorum	DIT1_PvcA	PF05141.13	nan
QRC97158.1	2186	4140	0	1558_Parastagonospora_nodorum	GCA_016801405.1	1955	2.0	Group_1	Parastagonospora_nodorum	TauD	PF02668.17	nan
KAG9205043.1	6300	9501	1	1688_Epicoccum_nigrum	GCA_019721275.1	3202	8.0	Group_3	Epicoccum_nigrum	ANAPC4_WD40	PF12894.8	nan
KAG9205043.1	6300	9501	1	1688_Epicoccum_nigrum	GCA_019721275.1	3202	8.0	Group_3	Epicoccum_nigrum	Cytochrom_D1	PF02239.17	nan
KAG9205043.1	6300	9501	1	1688_Epicoccum_nigrum	GCA_019721275.1	3202	8.0	Group_3	Epicoccum_nigrum	Nucleoporin_N	PF08801.12	nan
KAG9205043.1	6300	9501	1	1688_Epicoccum_nigrum	GCA_019721275.1	3202	8.0	Group_3	Epicoccum_nigrum	Utp21	PF04192.13	nan
KAG9205043.1	6300	9501	1	1688_Epicoccum_nigrum	GCA_019721275.1	3202	8.0	Group_3	Epicoccum_nigrum	WD40	PF00400.33	nan
KAG9205045.1	15138	16288	1	1688_Epicoccum_nigrum	GCA_019721275.1	1151	7.0	Group_5	Epicoccum_nigrum	FAD_binding_3	PF01494.20	nan
KAG9205046.1	19928	21881	0	1688_Epicoccum_nigrum	GCA_019721275.1	1954	6.0	Group_1	Epicoccum_nigrum	DIT1_PvcA	PF05141.13	nan
KAG9205046.1	19928	21881	0	1688_Epicoccum_nigrum	GCA_019721275.1	1954	6.0	Group_1	Epicoccum_nigrum	TauD	PF02668.17	nan
KAH3905184.1	4459	6411	1	2616_Parastagonospora_nodorum	GCA_020557385.1	1953	5.0	Group_5	Parastagonospora_nodorum	FAD_binding_3	PF01494.20	nan
KAH3905185.1	7220	8577	1	2616_Parastagonospora_nodorum	GCA_020557385.1	1358	4.0	Group_0	Parastagonospora_nodorum	MFS_1	PF07690.17	Group_0.1
KAH3905186.1	9405	11359	0	2616_Parastagonospora_nodorum	GCA_020557385.1	1955	3.0	Group_1	Parastagonospora_nodorum	DIT1_PvcA	PF05141.13	nan
KAH3905186.1	9405	11359	0	2616_Parastagonospora_nodorum	GCA_020557385.1	1955	3.0	Group_1	Parastagonospora_nodorum	TauD	PF02668.17	nan
KAH3905190.1	21196	22764	0	2616_Parastagonospora_nodorum	GCA_020557385.1	1569	2.0	Group_0	Parastagonospora_nodorum	MFS_1	PF07690.17	Group_0.2
KAH3924118.1	11387	12955	0	2621_Parastagonospora_nodorum	GCA_020567955.1	1569	1.0	Group_0	Parastagonospora_nodorum	MFS_1	PF07690.17	nan
KAH3924055.1	22792	24746	0	2621_Parastagonospora_nodorum	GCA_020567955.1	1955	2.0	Group_1	Parastagonospora_nodorum	DIT1_PvcA	PF05141.13	nan
KAH3924055.1	22792	24746	0	2621_Parastagonospora_nodorum	GCA_020567955.1	1955	2.0	Group_1	Parastagonospora_nodorum	TauD	PF02668.17	nan
KAH3924082.1	25574	26931	1	2621_Parastagonospora_nodorum	GCA_020567955.1	1358	3.0	Group_0	Parastagonospora_nodorum	MFS_1	PF07690.17	Group_0.2
