Protein	Start	Stop	Direction	BGC_Name	NCBI_Accession	ProteinSize	OrderInCluster	GroupName	RealSpecies	Domain	Domain_Accession	DupGroupName
QEL60161.1	3365	4759	1	1028_Candida_auris	GCA_008275145.1	1395	6.0	Group_0	Candida_auris	DIT1_PvcA	PF05141.13	nan
QEL60162.1	5123	6388	1	1028_Candida_auris	GCA_008275145.1	1266	5.0	Group_0	Candida_auris	Kinase-like	PF14531.7	Group_0.6
QEL60162.1	5123	6388	1	1028_Candida_auris	GCA_008275145.1	1266	5.0	Group_0	Candida_auris	PK_Tyr_Ser-Thr	PF07714.18	nan
QEL60162.1	5123	6388	1	1028_Candida_auris	GCA_008275145.1	1266	5.0	Group_0	Candida_auris	Pkinase	PF00069.26	nan
QEL60162.1	5123	6388	1	1028_Candida_auris	GCA_008275145.1	1266	5.0	Group_0	Candida_auris	Pkinase_fungal	PF17667.2	nan
QEL60163.1	7436	10534	0	1028_Candida_auris	GCA_008275145.1	3099	4.0	Group_1	Candida_auris	CBF	PF03914.18	nan
QFZ28649.1	1	1446	1	1073_Clavispora_lusitaniae	GCA_009498055.1	1446	6.0	Group_0	Clavispora_lusitaniae	DIT1_PvcA	PF05141.13	nan
QFZ28650.1	1807	3012	1	1073_Clavispora_lusitaniae	GCA_009498055.1	1206	5.0	Group_0	Clavispora_lusitaniae	Kinase-like	PF14531.7	Group_0.6
QFZ28650.1	1807	3012	1	1073_Clavispora_lusitaniae	GCA_009498055.1	1206	5.0	Group_0	Clavispora_lusitaniae	PK_Tyr_Ser-Thr	PF07714.18	nan
QFZ28650.1	1807	3012	1	1073_Clavispora_lusitaniae	GCA_009498055.1	1206	5.0	Group_0	Clavispora_lusitaniae	Pkinase	PF00069.26	nan
QFZ28650.1	1807	3012	1	1073_Clavispora_lusitaniae	GCA_009498055.1	1206	5.0	Group_0	Clavispora_lusitaniae	Pkinase_fungal	PF17667.2	nan
QFZ28651.1	4019	7108	0	1073_Clavispora_lusitaniae	GCA_009498055.1	3090	4.0	Group_1	Clavispora_lusitaniae	CBF	PF03914.18	nan
QFZ34312.1	1	1446	1	1074_Clavispora_lusitaniae	GCA_009498075.1	1446	6.0	Group_0	Clavispora_lusitaniae	DIT1_PvcA	PF05141.13	nan
QFZ34313.1	1807	3012	1	1074_Clavispora_lusitaniae	GCA_009498075.1	1206	5.0	Group_0	Clavispora_lusitaniae	Kinase-like	PF14531.7	Group_0.6
QFZ34313.1	1807	3012	1	1074_Clavispora_lusitaniae	GCA_009498075.1	1206	5.0	Group_0	Clavispora_lusitaniae	PK_Tyr_Ser-Thr	PF07714.18	nan
QFZ34313.1	1807	3012	1	1074_Clavispora_lusitaniae	GCA_009498075.1	1206	5.0	Group_0	Clavispora_lusitaniae	Pkinase	PF00069.26	nan
QFZ34313.1	1807	3012	1	1074_Clavispora_lusitaniae	GCA_009498075.1	1206	5.0	Group_0	Clavispora_lusitaniae	Pkinase_fungal	PF17667.2	nan
QFZ34314.1	4019	7108	0	1074_Clavispora_lusitaniae	GCA_009498075.1	3090	4.0	Group_1	Clavispora_lusitaniae	CBF	PF03914.18	nan
QFZ39996.1	1	1446	1	1075_Clavispora_lusitaniae	GCA_009498095.1	1446	6.0	Group_0	Clavispora_lusitaniae	DIT1_PvcA	PF05141.13	nan
QFZ39997.1	1807	3012	1	1075_Clavispora_lusitaniae	GCA_009498095.1	1206	5.0	Group_0	Clavispora_lusitaniae	Kinase-like	PF14531.7	Group_0.6
QFZ39997.1	1807	3012	1	1075_Clavispora_lusitaniae	GCA_009498095.1	1206	5.0	Group_0	Clavispora_lusitaniae	PK_Tyr_Ser-Thr	PF07714.18	nan
QFZ39997.1	1807	3012	1	1075_Clavispora_lusitaniae	GCA_009498095.1	1206	5.0	Group_0	Clavispora_lusitaniae	Pkinase	PF00069.26	nan
QFZ39997.1	1807	3012	1	1075_Clavispora_lusitaniae	GCA_009498095.1	1206	5.0	Group_0	Clavispora_lusitaniae	Pkinase_fungal	PF17667.2	nan
QFZ39998.1	4019	7108	0	1075_Clavispora_lusitaniae	GCA_009498095.1	3090	4.0	Group_1	Clavispora_lusitaniae	CBF	PF03914.18	nan
QFZ45678.1	1	1446	1	1076_Clavispora_lusitaniae	GCA_009498115.1	1446	6.0	Group_0	Clavispora_lusitaniae	DIT1_PvcA	PF05141.13	nan
QFZ45679.1	1807	3012	1	1076_Clavispora_lusitaniae	GCA_009498115.1	1206	5.0	Group_0	Clavispora_lusitaniae	Kinase-like	PF14531.7	Group_0.6
QFZ45679.1	1807	3012	1	1076_Clavispora_lusitaniae	GCA_009498115.1	1206	5.0	Group_0	Clavispora_lusitaniae	PK_Tyr_Ser-Thr	PF07714.18	nan
QFZ45679.1	1807	3012	1	1076_Clavispora_lusitaniae	GCA_009498115.1	1206	5.0	Group_0	Clavispora_lusitaniae	Pkinase	PF00069.26	nan
QFZ45679.1	1807	3012	1	1076_Clavispora_lusitaniae	GCA_009498115.1	1206	5.0	Group_0	Clavispora_lusitaniae	Pkinase_fungal	PF17667.2	nan
QFZ45680.1	4019	7108	0	1076_Clavispora_lusitaniae	GCA_009498115.1	3090	4.0	Group_1	Clavispora_lusitaniae	CBF	PF03914.18	nan
QFZ51342.1	1	1446	1	1077_Clavispora_lusitaniae	GCA_009498135.1	1446	6.0	Group_0	Clavispora_lusitaniae	DIT1_PvcA	PF05141.13	nan
QFZ51343.1	1807	3012	1	1077_Clavispora_lusitaniae	GCA_009498135.1	1206	5.0	Group_0	Clavispora_lusitaniae	Kinase-like	PF14531.7	Group_0.6
QFZ51343.1	1807	3012	1	1077_Clavispora_lusitaniae	GCA_009498135.1	1206	5.0	Group_0	Clavispora_lusitaniae	PK_Tyr_Ser-Thr	PF07714.18	nan
QFZ51343.1	1807	3012	1	1077_Clavispora_lusitaniae	GCA_009498135.1	1206	5.0	Group_0	Clavispora_lusitaniae	Pkinase	PF00069.26	nan
