Protein	Start	Stop	Direction	BGC_Name	NCBI_Accession	ProteinSize	OrderInCluster	GroupName	RealSpecies	Domain	Domain_Accession	DupGroupName
KAF5851336.1	1	960	1	1463_Bipolaris_sorokiniana	GCA_013416765.1	960	4.0	Group_0	Bipolaris_sorokiniana	Gly_transf_sug	PF04488.16	nan
KAF5851306.1	4949	6589	0	1463_Bipolaris_sorokiniana	GCA_013416765.1	1641	3.0	Group_1	Bipolaris_sorokiniana	DIT1_PvcA	PF05141.13	nan
KAF5851308.1	9845	11444	0	1463_Bipolaris_sorokiniana	GCA_013416765.1	1600	2.0	Group_1	Bipolaris_sorokiniana	MFS_1	PF07690.17	Group_1.3
KAF5851305.1	11994	13793	0	1463_Bipolaris_sorokiniana	GCA_013416765.1	1800	1.0	Group_1	Bipolaris_sorokiniana	DIT1_PvcA	PF05141.13	Group_1.2
EMD91551.1	3266	5030	0	161_Bipolaris_maydis	GCA_000338975.1	1765	1.0	Group_1	Bipolaris_maydis	none	none	Group_1.1
EMD91552.1	5916	7178	0	161_Bipolaris_maydis	GCA_000338975.1	1263	2.0	Group_1	Bipolaris_maydis	DIT1_PvcA	PF05141.13	Group_1.2
EMD91553.1	10365	11737	0	161_Bipolaris_maydis	GCA_000338975.1	1373	3.0	Group_1	Bipolaris_maydis	MFS_1	PF07690.17	Group_1.4
EMD91555.1	15217	16414	0	161_Bipolaris_maydis	GCA_000338975.1	1198	4.0	Group_1	Bipolaris_maydis	DIT1_PvcA	PF05141.13	nan
EMD91556.1	21226	22185	1	161_Bipolaris_maydis	GCA_000338975.1	960	5.0	Group_0	Bipolaris_maydis	Gly_transf_sug	PF04488.16	nan
KAH7559377.1	1	8067	0	1661_Bipolaris_maydis	GCA_019454015.1	8067	1.0	Group_1	Bipolaris_maydis	DIT1_PvcA	PF05141.13	Group_1.1
KAH7559377.1	1	8067	0	1661_Bipolaris_maydis	GCA_019454015.1	8067	1.0	Group_1	Bipolaris_maydis	MFS_1	PF07690.17	nan
KAH7559379.1	11547	12930	0	1661_Bipolaris_maydis	GCA_019454015.1	1384	2.0	Group_1	Bipolaris_maydis	DIT1_PvcA	PF05141.13	Group_1.2
KAH7559380.1	17556	18515	1	1661_Bipolaris_maydis	GCA_019454015.1	960	3.0	Group_0	Bipolaris_maydis	Gly_transf_sug	PF04488.16	nan
EMD61568.1	1	1562	0	166_Bipolaris_sorokiniana	GCA_000338995.1	1562	3.0	Group_1	Bipolaris_sorokiniana	DIT1_PvcA	PF05141.13	nan
EMD61570.1	5169	6502	0	166_Bipolaris_sorokiniana	GCA_000338995.1	1334	2.0	Group_1	Bipolaris_sorokiniana	MFS_1	PF07690.17	Group_1.3
EMD61571.1	7235	8501	0	166_Bipolaris_sorokiniana	GCA_000338995.1	1267	1.0	Group_1	Bipolaris_sorokiniana	DIT1_PvcA	PF05141.13	Group_1.2
ENI08687.1	1	1384	0	190_Bipolaris_maydis	GCA_000354255.1	1384	4.0	Group_1	Bipolaris_maydis	DIT1_PvcA	PF05141.13	nan
ENI08689.1	4864	6236	0	190_Bipolaris_maydis	GCA_000354255.1	1373	3.0	Group_1	Bipolaris_maydis	MFS_1	PF07690.17	Group_1.4
ENI08690.1	9423	10685	0	190_Bipolaris_maydis	GCA_000354255.1	1263	2.0	Group_1	Bipolaris_maydis	DIT1_PvcA	PF05141.13	Group_1.2
ENI08691.1	11414	13335	0	190_Bipolaris_maydis	GCA_000354255.1	1922	1.0	Group_1	Bipolaris_maydis	none	none	Group_1.1
EUC31885.1	1578	2474	1	228_Bipolaris_zeicola	GCA_000523435.1	897	5.0	Group_0	Bipolaris_zeicola	Gly_transf_sug	PF04488.16	nan
EUC31886.1	7132	8516	0	228_Bipolaris_zeicola	GCA_000523435.1	1385	4.0	Group_1	Bipolaris_zeicola	DIT1_PvcA	PF05141.13	Group_1.1
EUC31888.1	11946	13382	0	228_Bipolaris_zeicola	GCA_000523435.1	1437	3.0	Group_1	Bipolaris_zeicola	MFS_1	PF07690.17	nan
EUC31889.1	14105	15371	0	228_Bipolaris_zeicola	GCA_000523435.1	1267	2.0	Group_1	Bipolaris_zeicola	DIT1_PvcA	PF05141.13	Group_1.2
EUC31890.1	16099	17617	0	228_Bipolaris_zeicola	GCA_000523435.1	1519	1.0	Group_1	Bipolaris_zeicola	none	none	Group_1.4
EUC46413.1	2588	4099	1	231_Bipolaris_oryzae	GCA_000523455.1	1512	1.0	Group_1	Bipolaris_oryzae	none	none	nan
EUC46414.1	4430	5694	0	231_Bipolaris_oryzae	GCA_000523455.1	1265	2.0	Group_1	Bipolaris_oryzae	DIT1_PvcA	PF05141.13	Group_1.2
EUC46415.1	6387	7753	0	231_Bipolaris_oryzae	GCA_000523455.1	1367	3.0	Group_1	Bipolaris_oryzae	MFS_1	PF07690.17	Group_1.1
EUC46417.1	11232	12616	0	231_Bipolaris_oryzae	GCA_000523455.1	1385	4.0	Group_1	Bipolaris_oryzae	DIT1_PvcA	PF05141.13	Group_1.4
EUC46418.1	17130	18074	1	231_Bipolaris_oryzae	GCA_000523455.1	945	5.0	Group_0	Bipolaris_oryzae	Gly_transf_sug	PF04488.16	nan
EUN29837.1	28049	28945	1	234_Bipolaris_victoriae	GCA_000527765.1	897	2.0	Group_0	Bipolaris_victoriae	Gly_transf_sug	PF04488.16	nan
EUN29838.1	33606	34990	0	234_Bipolaris_victoriae	GCA_000527765.1	1385	1.0	Group_1	Bipolaris_victoriae	DIT1_PvcA	PF05141.13	Group_1.1
XP_007702614.1	1	1562	0	3471_Bipolaris_sorokiniana	GCF_000338995.1	1562	3.0	Group_1	Bipolaris_sorokiniana	DIT1_PvcA	PF05141.13	Group_1.1
XP_007702881.1	5169	6502	0	3471_Bipolaris_sorokiniana	GCF_000338995.1	1334	2.0	Group_1	Bipolaris_sorokiniana	MFS_1	PF07690.17	Group_1.3
XP_007702882.1	7235	8501	0	3471_Bipolaris_sorokiniana	GCF_000338995.1	1267	1.0	Group_1	Bipolaris_sorokiniana	DIT1_PvcA	PF05141.13	Group_1.2
XP_014082596.1	1	1384	0	3483_Bipolaris_maydis	GCF_000354255.1	1384	4.0	Group_1	Bipolaris_maydis	DIT1_PvcA	PF05141.13	nan
